date,spy_voltarget,momentum_hrp,momentum_ml_hrp,momentum_equal,SPY
2024-12-17,140944.2895167511,121869.21839350747,106345.14830332779,122190.03746802358,146958.14308951233
2024-12-18,136743.64635833926,118618.53818146739,103585.14505883557,118790.35166420347,142578.2656183609
2024-12-19,136700.1640701834,118783.13508125414,103731.71554527122,118886.03340680196,142534.49116279135
2024-12-20,138011.94208084862,120190.1817868266,104960.47052401051,120185.82234304212,144240.612241802
2024-12-23,138668.27198939092,120504.83754343422,105235.25516761145,120634.30850792158,145104.37231510994
2024-12-24,139898.54129450282,121464.35864402287,106073.19204979479,121574.55327608962,146717.2124519928
2024-12-26,139912.2370830329,121490.02610451415,106095.60709809799,121582.2713158269,146726.97245282112
2024-12-27,138849.73548164874,120696.90941420187,105444.95085310306,120659.83103910784,145182.4523217366
2024-12-30,137693.64678404937,119710.83043758279,104393.47268767617,119592.71695826718,143525.69218112624
2024-12-31,137336.2912972182,119575.77729841156,104446.65448870978,119346.16639425767,143003.53213681013
2025-01-02,137098.21186246618,119550.38813752927,104465.34346400909,119211.2156191596,142652.17210698998
2025-01-03,138292.3985524933,119490.8248601707,104409.12774184554,119153.29153151075,144435.8122583688
2025-01-06,138850.9658909689,119459.14042612101,104381.44240177031,119121.696598496,145267.8523289846
2025-01-07,137768.78461811898,119453.18986977526,104376.24290299402,119115.76285106501,143625.73218961668
2025-01-08,137917.92395797174,119502.9854640513,104419.75347855354,119165.41778456053,143835.57220742595
2025-01-10,136467.50472893397,119472.6352526815,104393.23396042644,119135.15330536207,141639.57202104985
2025-01-13,136597.9134549886,119445.53395956517,104369.55329391282,119108.12856699114,141859.17203968746
2025-01-14,136725.01926824672,119494.71903395449,104412.5304071842,119157.17470517429,142054.37205625424
2025-01-15,138260.6176192842,119598.13856329583,104502.8966998484,119260.30209879702,144638.33227555675
2025-01-16,138097.05654096033,119668.97125251094,104564.7891447722,119330.93470241227,144360.17225194912
2025-01-17,138978.94552187136,119736.58024702445,104623.86477800949,119398.35271750129,145809.5323749573
2025-01-21,139695.69739411073,119815.53022122187,104692.8499737418,119477.07967668798,147144.2124882325
2025-01-22,140153.48491452626,119800.48356990678,104679.70245600492,119462.07552860533,147971.37255843417
2025-01-23,140586.53952777435,119792.94922899922,104673.11907219123,119454.56247042948,148779.01262697915
2025-01-24,140380.82951990585,119887.8250171373,104756.01998357843,119549.17025689782,148344.6925901181
2025-01-27,139263.3265823831,119962.54883728262,104821.31243504524,119623.68299991841,146246.2924120254
2025-01-28,140066.87203958537,119931.9320000095,104794.55994356616,119593.15264797176,147502.89251867394
2025-01-29,139646.0208540582,119935.48341766991,104797.66311421213,119596.69403371694,146841.65246255402
2025-01-30,140159.14191258606,120034.72724631632,104884.38074792885,119695.65752201194,147629.77252944233
2025-01-31,139668.10727717372,120036.06884587953,104885.55301567691,119696.99533187358,146844.09246276115
2025-02-03,139043.43143380046,120096.20209161361,104938.09646194341,119756.95871540593,145855.8923788919
2025-02-04,139712.80097388217,120105.1264040805,104945.89438016394,119765.8578188001,146834.3324619328
2025-02-05,140125.41096966973,120192.47216234014,105022.21567464418,119852.95684594408,147429.69251246142
2025-02-06,140485.0240266591,120212.20874214265,105039.46117516022,119872.63767457503,147942.09255594914
2025-02-07,139566.63972326578,120211.70327133694,105039.01950304033,119872.13363160483,146587.89244101723
2025-02-10,140254.13680743315,120280.9385167173,105099.51612767753,119941.17330378649,147583.4125255077
2025-02-11,140336.02301170627,120362.60064834364,105168.29602596267,119854.30953139099,147695.65253503356
2025-02-12,139998.55410645923,120059.82166945614,104866.72826442395,119634.80852782045,147219.8524946521
2025-02-13,141121.65067567554,120658.43606155887,105334.40737099142,120398.55634987574,148774.13262656494
2025-02-14,141127.7498817225,120633.14946450194,105248.11042080316,120424.34452172932,148766.81262594365
2025-02-18,141448.03761675078,121209.64073205966,105895.28005527997,120783.28791068558,149203.57266301182
2025-02-19,141744.5797167188,121398.93967418939,106056.51885576565,120937.23362090287,149554.93269283196
2025-02-20,141203.09573357287,120605.67579252741,105376.48525448857,120195.65848457102,148932.7326400254
2025-02-21,138979.1842153159,119128.07047548765,104056.91052418435,118632.09171428857,146385.3724238292
2025-02-24,138397.0803159797,118914.01696745191,103897.7802187576,118309.3247395742,145719.2523672951
2025-02-25,137762.29003411197,118162.42821400335,103232.48861934802,117570.12703107038,144994.572305791
2025-02-26,137821.98546959469,118252.44698908944,103263.52660346766,117709.49528801904,145067.77231200348
2025-02-27,135932.8032864583,116919.44723370571,102150.5392761929,116227.20761214437,142752.21211548027
